fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,unused3,unused4,unused5,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused6,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused7,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused8,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,hsa,hsaPopulation,actuals.hsaHospitalBeds.capacity,actuals.hsaHospitalBeds.currentUsageTotal,actuals.hsaHospitalBeds.currentUsageCovid,actuals.hsaIcuBeds.capacity,actuals.hsaIcuBeds.currentUsageTotal,actuals.hsaIcuBeds.currentUsageCovid,metrics.bedsWithCovidPatientsRatio,hsaName,actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hsaHospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.cdcCommunityLevel,communityLevels.canCommunityLevel,actuals.vaccinationsFall2022BivalentBooster,metrics.vaccinationsFall2022BivalentBoosterRatio
27,US,MN,,state,,iso1:us#iso2:us-mn,,5639632,,other,,,,,,,,,,0.68,4,4,4,4,4,,0,1795771,14770,2275019,22294282,1028,9340,7471,2,,857,587,5,,1202,18519240,4461994,4082263,2024-07-21,https://covidactnow.org/us/minnesota-mn,0.791,0.724,23,12829141,4,2595884,0.46,,,,,,,,,,0.0,,59,,1.0,,0,1507103,0.267
29,US,MO,,state,,iso1:us#iso2:us-mo,,6137428,,other,,,,,,,,,,0.78,4,4,4,4,4,,1,1790763,22931,1898590,11726213,94,13852,11302,259,,1618,1270,22,,1568,15654225,4269469,3634453,2024-07-21,https://covidactnow.org/us/missouri-mo,0.696,0.592,26,10509024,4,1733218,0.282,,,,,,,,,,0.019,,111,,1.8,,0,911358,0.148
69,US,MP,,state,,iso1:us#iso2:us-mp,,53605,,other,5.1,,0.95,0.84,,,,,,,1,4,1,4,1,,4,13886,44,1161,57944,10,,,,,,,,,19,152250,46858,44044,2024-07-21,https://covidactnow.org/us/northern_mariana_islands-mp,0.874,0.822,1,118647,1,23985,0.447,35.4,,,,,,,,,,,,,,,,4936,0.092
28,US,MS,,state,,iso1:us#iso2:us-ms,,2976149,,other,,,,,,,,,,0.73,4,4,4,4,4,,1,1000415,13474,626298,3000289,200,7630,4899,1,,696,510,3,,800,7252325,1839306,1600364,2024-07-21,https://covidactnow.org/us/mississippi-ms,0.618,0.538,4,4307637,4,661477,0.222,,,,,,,,,,0.0,,32,,1.1,,0,201658,0.068
30,US,MT,,state,,iso1:us#iso2:us-mt,,1068778,0.288,other,,,,,,,,,,,4,3,4,4,4,,4,333959,3715,308340,2035887,200,2487,1510,8,,215,126,1,,202,2714785,731323,633531,2024-07-21,https://covidactnow.org/us/montana-mt,0.684,0.593,3,1870288,3,334443,0.313,,,,,,,,,,,,10,,,,,171859,0.161
37,US,NC,,state,,iso1:us#iso2:us-nc,,10488084,0.998,other,,,,,,,,,,,4,3,4,4,4,,4,3501404,29059,3248135,23631983,1215,20532,15898,1124,,2293,1720,20,,2257,,7087837,6659428,2024-07-21,https://covidactnow.org/us/north_carolina-nc,0.676,0.635,73,,3,3944863,0.376,,,,,,,,,,,,147,,,,,,
38,US,ND,,state,,iso1:us#iso2:us-nd,,762062,0.686,other,,,,,,,,,,,4,3,4,4,4,,4,291093,2513,198052,2302004,500,1872,1264,2,,195,83,1,,406,1910860,530640,448757,2024-07-21,https://covidactnow.org/us/north_dakota-nd,0.696,0.589,2,1314469,3,219540,0.288,,,,,,,,,,,,19,,,,,120653,0.158
31,US,NE,,state,,iso1:us#iso2:us-ne,,1934408,0.034,other,,,,,,,,,,,4,1,4,4,4,,4,575134,5089,438241,2727765,1000,4806,3192,6,,456,312,0,,373,5481710,1425923,1286860,2024-07-21,https://covidactnow.org/us/nebraska-ne,0.737,0.665,24,3822190,0,718168,0.371,,,,,,,,,,,,26,,,,,340508,0.176
33,US,NH,,state,,iso1:us#iso2:us-nh,,1359711,0.046,other,,,,,,,,,,,4,1,4,4,4,,4,382013,3052,321516,4235718,140,2559,1934,6,,230,157,3,,281,,,,2024-07-21,https://covidactnow.org/us/new_hampshire-nh,,,6,,0,,,,,,,,,,,,,,22,,,,,,
34,US,NJ,,state,,iso1:us#iso2:us-nj,,8882190,0.077,other,,,,,,,,,,,4,1,4,4,4,,4,3075271,36118,2845022,30449486,3000,23262,16326,196,,2657,1170,12,,1643,29637655,8430561,7043583,2024-07-21,https://covidactnow.org/us/new_jersey-nj,0.949,0.793,1,19826065,1,3671069,0.413,,,,,,,,,,,,167,,,,,1517614,0.171
35,US,NM,,state,,iso1:us#iso2:us-nm,,2096829,,other,,,,,,,,,,0.8,4,4,4,4,4,,1,681242,9236,1341516,6122559,375,4091,2994,0,,370,296,4,,804,6176205,1989307,1582545,2024-07-21,https://covidactnow.org/us/new_mexico-nm,0.949,0.755,0,4750638,4,867565,0.414,,,,,,,,,,,,34,,1.6,,0,467615,0.223
32,US,NV,,state,,iso1:us#iso2:us-nv,,3080156,0.154,other,,,,,,,,,,,4,2,4,4,4,,4,898511,12008,1025346,6089107,600,6911,5331,19,,793,596,9,,640,7722770,2400362,1966594,2024-07-21,https://covidactnow.org/us/nevada-nv,0.779,0.638,10,5590682,3,864281,0.281,,,,,,,,,,,,61,,,,,403450,0.131
36,US,NY,,state,,iso1:us#iso2:us-ny,,19453561,0.119,other,,,,,,,,,,,4,2,4,4,4,,4,6838769,77522,7669983,100948592,9620,46586,34125,274,,4530,3141,32,,3732,61302975,18427712,15763340,2024-07-21,https://covidactnow.org/us/new_york-ny,0.947,0.81,44,45177512,3,7736198,0.398,,,,,,,,,,,,395,,,,,3434920,0.177
39,US,OH,,state,,iso1:us#iso2:us-oh,,11689100,0.039,other,,,,,,,,,,,4,1,4,4,4,,4,3441458,42207,2892857,23685529,1659,26746,18938,44,,3413,2259,16,,2978,31703485,7707458,7089473,2024-07-21,https://covidactnow.org/us/ohio-oh,0.659,0.607,40,21104771,0,4028396,0.345,,,,,,,,,,,,161,,,,,1896883,0.162
40,US,OK,,state,,iso1:us#iso2:us-ok,,3956971,0.058,other,,,,,,,,,,,4,1,4,4,4,,4,1306350,16157,1045871,4086894,700,8274,5518,102,,878,657,8,,956,9702330,2961991,2399774,2024-07-21,https://covidactnow.org/us/oklahoma-ok,0.749,0.606,38,6773461,1,1005893,0.254,,,,,,,,,,,,71,,,,,479528,0.121
41,US,OR,,state,,iso1:us#iso2:us-or,,4217737,,other,,,,,,,,,,0.71,4,4,4,4,4,,1,975856,9550,812458,9316835,656,6529,4863,19,,659,467,3,,932,14222125,3459096,3065513,2024-07-21,https://covidactnow.org/us/oregon-or,0.82,0.727,6,9399175,4,1812982,0.43,,,,,,,,,,0.003,,36,,0.9,,0,944587,0.224
42,US,PA,,state,,iso1:us#iso2:us-pa,,12801989,,other,,,,,,,,,,0.72,4,4,4,4,4,,1,3559331,51047,3239367,27789682,1508,29802,21943,503,,3270,2370,18,,1977,42895735,11666613,9444480,2024-07-21,https://covidactnow.org/us/pennsylvania-pa,0.911,0.738,5,27586432,4,4493396,0.351,,,,,,,,,,0.017,,177,,1.4,,0,2404885,0.188
72,US,PR,,state,,iso1:us#iso2:us-pr,,3193694,0.207,other,,,,,,,,,,,4,3,4,4,4,,4,1122076,5908,486861,3173174,10,8262,6041,47,,650,480,3,,3476,8842720,2905470,2688410,2024-07-21,https://covidactnow.org/us/puerto_rico-pr,0.91,0.842,11,7846764,3,1808780,0.566,,,249108132,,,,,,,,,46,,,,,336483,0.105
44,US,RI,,state,,iso1:us#iso2:us-ri,,1059361,0.029,other,,,,,,,,,,,4,0,4,4,4,,4,441466,3915,455420,7225360,200,2187,1974,0,,138,118,0,,185,3531485,1126779,932541,2024-07-21,https://covidactnow.org/us/rhode_island-ri,0.95,0.88,0,2672092,0,545736,0.515,,,,,,,,,,,,18,,,,,273693,0.258
45,US,SC,,state,,iso1:us#iso2:us-sc,,5148714,,other,,,,,,,,,,,4,4,4,4,4,,4,1852019,19923,1894801,12860722,775,10028,7413,144,,1219,781,2,,1357,14205395,3666079,3091956,2024-07-21,https://covidactnow.org/us/south_carolina-sc,0.712,0.601,22,8666603,4,1389701,0.27,,,,,,,,,,,,67,,,,,602389,0.117
46,US,SD,,state,,iso1:us#iso2:us-sd,,884659,0.15,other,,,,,,,,,,,4,2,4,4,4,,4,282895,3231,228648,1171864,350,2198,1340,1,,238,108,2,,217,2713025,746118,588257,2024-07-21,https://covidactnow.org/us/south_dakota-sd,0.843,0.665,2,1688981,3,276231,0.312,,,,,,,,,,,,16,,,,,155946,0.176
47,US,TN,,state,,iso1:us#iso2:us-tn,,6829174,0.053,other,,,,,,,,,,,4,1,4,4,4,,4,2542163,29549,1790575,11322674,1226,20058,13872,94,,2355,1537,13,,1919,17172490,4413541,3852924,2024-07-21,https://covidactnow.org/us/tennessee-tn,0.646,0.564,17,11323319,1,1858161,0.272,,,,,,,,,,,,98,,,,,721826,0.106
48,US,TX,,state,,iso1:us#iso2:us-tx,,28995881,,other,,,,,,,,,,0.85,4,4,4,4,4,,2,8508204,93780,8133115,48879641,3722,53864,42720,123,,5843,4975,62,,5620,80813315,22322586,18406327,2024-07-21,https://covidactnow.org/us/texas-tx,0.77,0.635,42,52510128,4,7493737,0.258,,,,,,,,,,0.002,,478,,1.6,,0,3288778,0.113
49,US,UT,,state,,iso1:us#iso2:us-ut,,3205958,0.13,other,,,,,,,,,,,4,2,4,4,4,,4,1097475,5362,1176365,7179749,1200,5684,3682,13,,526,317,4,,514,8421900,2421459,2146291,2024-07-21,https://covidactnow.org/us/utah-ut,0.755,0.669,10,6158852,3,1077025,0.336,,,,,,,,,,,,36,,,,,463338,0.145
51,US,VA,,state,,iso1:us#iso2:us-va,,8535519,0.764,other,,,,,,,,,,,4,3,4,4,4,,4,2310846,23743,2548327,15389393,1547,16760,11484,213,,1892,1226,18,,1745,26823665,7794449,6556391,2024-07-21,https://covidactnow.org/us/virginia-va,0.913,0.768,7,19608172,3,3509933,0.411,,,,,,,,,,,,212,,,,,1791781,0.21
50,US,VT,,state,,iso1:us#iso2:us-vt,,623989,0.676,other,,,,,,,,,,,4,3,4,4,4,,4,154243,967,199794,4062665,53,1168,816,1,,95,62,0,,93,2588940,623937,537193,2024-07-21,https://covidactnow.org/us/vermont-vt,0.95,0.861,4,1762563,3,359077,0.575,,,,,,,,,,,,3,,,,,213211,0.342
53,US,WA,,state,,iso1:us#iso2:us-wa,,7614893,0.929,other,,,,,,,,,,,4,3,4,4,4,,4,1957759,16186,1723788,17250527,2122,11178,9274,77,,995,777,12,,1569,25606455,6517326,5814062,2024-07-21,https://covidactnow.org/us/washington-wa,0.856,0.764,35,17723480,3,3414996,0.448,,,,,,,,,,,,83,,,,,1977241,0.26
55,US,WI,,state,,iso1:us#iso2:us-wi,,5822434,0.95,other,,,,,,,,,,,4,3,4,4,4,,4,2030717,16600,1984388,17842691,600,10982,7767,25,,1191,842,7,,1524,16474175,4386970,3981606,2024-07-21,https://covidactnow.org/us/wisconsin-wi,0.753,0.684,10,12444016,3,2432044,0.418,,,,,,,,,,,,79,,,,,1330586,0.229
54,US,WV,,state,,iso1:us#iso2:us-wv,,1792147,0.04,other,,,,,,,,,,,4,1,4,4,4,,4,650556,8125,666981,5707197,248,4817,3726,10,,601,437,5,,194,5515855,1212338,1071540,2024-07-21,https://covidactnow.org/us/west_virginia-wv,0.676,0.598,8,3098571,0,531751,0.297,,,,,,,,,,,,36,,,,,210085,0.117
56,US,WY,,state,,iso1:us#iso2:us-wy,,578759,0.163,other,,,,,,,,,,,4,2,4,4,4,,4,187034,2031,144910,1459281,50,1253,541,2,,108,47,1,,366,1281755,353727,307619,2024-07-21,https://covidactnow.org/us/wyoming-wy,0.611,0.532,0,854132,3,145600,0.252,,,,,,,,,,,,9,,,,,65920,0.114
