fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused3,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused4,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused5,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,hsa,hsaPopulation,actuals.hsaHospitalBeds.capacity,actuals.hsaHospitalBeds.currentUsageTotal,actuals.hsaHospitalBeds.currentUsageCovid,actuals.hsaIcuBeds.capacity,actuals.hsaIcuBeds.currentUsageTotal,actuals.hsaIcuBeds.currentUsageCovid,metrics.bedsWithCovidPatientsRatio,hsaName,actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hsaHospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.cdcCommunityLevel,communityLevels.canCommunityLevel,actuals.vaccinationsFall2022BivalentBooster,metrics.vaccinationsFall2022BivalentBoosterRatio
42680,US,,,cbsa,,iso1:us#cbsa:42680,,159923,,other,,,,,,,0.31,4,4,4,4,4,,0,42690,439,,,,324,296,2,,61,19,1,,0,,132443,111638,2024-07-21,,0.828,0.698,0,,4,56068,0.351,,,,1706,1311,9,226,147,1,0.008,,6,5,3.8,,0,26018,0.163
42700,US,,,cbsa,,iso1:us#cbsa:42700,,106221,,other,,,,,,,0.85,4,4,4,4,4,,2,30726,421,,,,250,201,4,,51,43,0,,0,,71031,57819,2024-07-21,,0.669,0.544,0,,4,26440,0.249,,,,1815,1493,8,237,181,1,0.016,,4,9,3.8,,0,10599,0.1
42740,US,,,cbsa,,iso1:us#cbsa:42740,,42339,,other,,,,,,,0.6,4,4,4,4,4,,0,15057,10,,,,46,37,0,,6,3,1,,0,,21817,18959,2024-07-21,,0.515,0.448,0,,4,8371,0.198,,,,76,55,0,6,3,0,0.015,,4,4,,,0,3991,0.094
42780,US,,,cbsa,,iso1:us#cbsa:42780,,40372,,other,,,,,,,,4,4,4,4,4,,4,9865,0,,,,,,,,,,,,0,,19733,18054,2024-07-21,,0.489,0.447,0,,4,9879,0.245,,,,902,719,15,132,101,3,,,,4,,,,,
42820,US,,,cbsa,,iso1:us#cbsa:42820,,37196,,other,,,,,,,0.56,4,4,4,4,4,,0,11093,67,,,,69,35,0,,10,5,0,,0,,22702,17591,2024-07-21,,0.61,0.473,0,,4,7637,0.205,,,,146,72,0,18,11,0,,,5,5,,,,2486,0.067
42860,US,,,cbsa,,iso1:us#cbsa:42860,,79546,,other,,,,,,,0.39,4,4,4,4,4,,0,29231,93,,,,168,97,3,,31,12,0,,0,,42672,37243,2024-07-21,,0.536,0.468,0,,4,18620,0.234,,,,1736,1280,12,223,143,1,0.018,,4,7,,,0,8946,0.112
42900,US,,,cbsa,,iso1:us#cbsa:42900,,34016,,other,,,,,,,,4,4,4,4,4,,4,7880,20,,,,,,,,,,,,0,,20103,18806,2024-07-21,,0.591,0.553,0,,4,11429,0.336,,,,341,250,2,41,29,0,,,,5,,,,5284,0.155
42940,US,,,cbsa,,iso1:us#cbsa:42940,,98250,,other,,,,,,,0.46,4,4,4,4,4,,0,36980,189,,,,98,72,0,,16,7,0,,0,,57904,50951,2024-07-21,,0.589,0.519,0,,4,23392,0.238,,,,2551,2040,8,313,244,2,0.007,,4,5,,,0,9248,0.094
42980,US,,,cbsa,,iso1:us#cbsa:42980,,44231,,other,,,,,,,0.39,4,4,4,4,4,,0,15377,0,,,,80,42,0,,18,7,0,,0,,27352,24753,2024-07-21,,0.618,0.56,0,,4,11758,0.266,,,,335,190,0,38,16,0,,,4,4,,,,3685,0.083
43020,US,,,cbsa,,iso1:us#cbsa:43020,,45455,,other,,,,,,,,4,4,4,4,4,,4,16899,23,,,,,,,,,,,,0,,28288,26340,2024-07-21,,0.622,0.579,0,,4,16152,0.355,,,,152,67,2,8,1,1,,,,10,,,,7955,0.175
